Rank,Gender,Department,Department_Other,H,State,Salary_Dependency_In_Month,Salary_Dependency_In_Month_Other,Research_Funded_By_External_Grants,Deadline_Today,Workload_Today,Workplace,Workplace_Other,RS,WH,TWR,TWT,TWA,TWO,TW_Sum,BR,BR_Other,Email,Proposal,NP,Funding_Agency,Funding_Agency_Other,P_SR,AP,P_AR,P_DWH,P_DWR,P_DWT,P_DWA,P_DWO,P_DW_SUm,PDR,PDT,PDA,PDO,PD_Sum,P_T,P_DS,P_Disrupted_Research,P_Disrupted_Sleep,P_Disrupted_Diet,P_Disrupted_PA,P_Disrupted_IR,About_Proposal_Deadline,Conference,NCP,CR,C_SR,ACP,AR,C_DWH,C_DWR,C_DWT,C_DWA,C_DWO,C_DW_Sum,DDR,CDT,CDA,CDS,CD_Sum,C_T,C_DS,C_Disrupted_Research,C_Disrupted_Sleep,C_Disrupted_Diet,C_Disrupted_PA,C_Disrupted_IR,About_Conf_Deadline,how_mentally_demanding_was,how_physically_demanding_w,how_hurried_or_rushed_was,how_successful_were_you_in,how_hard_did_you_have_to_w,how_insecure_discouraged_i,i_feel_pleast,i_feel_nervous_and_restles,i_feel_satisfied_with_myse,i_wish_i_could_be_as_happy,i_feel_like_a_failure,i_feel_rested,i_am_calm_cool_and_collect,i_feel_that_difficulties_a,i_worry_too_much_over_some,i_am_happy,i_have_disturbing_thoughts,i_lack_self_confidence,i_feel_secure,i_make_decisions_easily,i_feel_inadequate,i_am_content,some_unimportant_thought_r,i_take_disappointments_so,i_am_a_steady_person,i_get_in_a_state_of_tensio,is_talkative,is_reserved,is_curious_about_many_diff,is_full_of_energy,starts_quarrels_with_other,is_a_reliable_worker,can_be_tense,does_a_through_job,gets_nervous_easily,is_ingenious_a_deep_thinke,take_some_time_off_and_get,focus_on_the_problem_and_s,blame_myself_for_having_go,treat_myself_to_a_favorite,feel_anxious_about_not_bei,think_about_how_i_solved_s,visit_a_friend,determine_a_course_of_acti,ciss9,blame_myself_for_being_too,work_to_understand_the_sit,become_very_upset,take_corrective_action_imm,blame_myself_for_not_knowi,spend_time_with_a_special,think_about_the_event_and,wish_that_i_could_change_w,go_out_fora_snack_or_meal,analyze_my_problem_before,focus_on_my_general_inadeq,phone_a_friend
Professor,Female,Psychology,,21,Texas,Three months,,Not funded,No,Light,Home,,Hands-on,< 30,10,80,0,10,100,Every 3-4 hours,,Answer email in batches once  or twice per day,Yes,1,NSF,,20-30%,> 2 months,> 12 months,More,80,20,0,0,100,100,,,,100,1-3 hours before deadline,Significantly  more,2,3,3,4,3,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,1,1,1,5,2,1,1,2,1,3,2,3,3,1,2,1,1,3,2,2,4,2,2,3,2,2,5,4,4,3,2,2,1,2,3,3,2,5,4,4,4,4,1,4,1,4,5,2,3,4,2,4,5,2,4,4,2
Professor,Male,Computer Science,,17,Florida,Three months,,Not funded,No,Standard,Home,,Hands-off,40-50,60,20,10,10,100,Every 3-4 hours,,Answer email in batches once  or twice per day,Yes,2,NSF,,< 10%,1-2 months,> 12 months,Significantly more,70,20,10,0,100,100,0,0,0,100,Minutes before deadline,Same,4,4,3,4,4,,Yes,2,A*,20-30%,1-2 months,> 12 months,More,60,20,10,10,100,60,20,10,10,100,1-3 hours before deadline,Same,3,3,2,2,2,,4,4,3,6,6,3,4,1,4,1,1,4,3,2,1,4,1,1,4,3,1,3,2,1,4,1,4,5,3,5,2,2,1,4,1,4,5,5,2,3,1,5,3,5,4,2,5,2,3,1,3,4,3,3,5,3,2
Professor,Male,Computer Science,,30,Colorado,Three months,,Fully funded,Yes,Standard,Home,,Hands-off,40-50,60,10,10,20,100,Every 1-2 hours,,Answer email as it comes,Yes,1,DOE,,75-90%,1-2 months,> 12 months,More,90,0,0,10,100,90,0,0,10,100,Minutes before deadline,Same,3,2,2,3,3,Applying for funding does have some enjoyable aspects.,Yes,1,A,> 90%,1-2 months,3-6 months,About the same,90,0,0,10,100,90,0,0,10,100,Minutes before deadline,Same,2,2,2,2,2,Feels good to help your students.,3,1,1,4,3,1,3,1,2,1,1,3,3,2,1,3,1,1,3,2,1,3,1,2,3,1,4,2,3,5,3,3,3,3,1,3,4,4,2,3,3,4,3,3,1,1,4,1,3,1,4,4,2,2,4,1,3
Assistant Professor,Female,Physics,,16,Colorado,Three months,,75-50%,No,Standard,"Usually Office, but with Covid it is Home","Usually office, but with covid it is home",Hands-off,40-50,40,40,10,10,100,Other,"I don't formally take breaks, though I'll sometimes go on social media for a few minutes as a brain reset",Answer email as it comes,Yes,1,NSF,,10-20%,1-2 months,3-6 months,About the same,50,30,10,10,100,40,40,10,10,100,1 day before deadline,Significantly  more,2,2,1,2,1,"I do not like doing things last minute, so grant deadlines are typically built in as work over an extended period of time in advance of the deadline.  ",No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,5,1,2,5,4,5,3,1,2,1,2,4,3,2,1,3,2,2,2,3,2,1,1,2,3,3,2,4,1,4,1,4,2,5,2,5,4,5,3,4,4,5,2,5,2,4,5,4,4,4,5,5,5,4,2,1,4
Associate Professor,Male,Physics,,35,Arizona,Three months,,Fully funded,Yes,Standard,Office,,Hands-on,> 50,60,30,,10,100,Every 3-4 hours,,Answer email in batches once  or twice per day,Yes,1,NSF,,50-75%,1-2 months,1-3 months,Significantly more,80,20,0,0,100,100,0,0,0,100,1-3 hours before deadline,Extremely  more,5,5,3,5,5,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,4,1,3,4,4,2,3,2,2,2,1,1,3,3,3,2,1,2,2,1,1,2,2,3,2,2,5,4,2,3,4,1,3,4,5,5,3,5,4,3,3,5,4,4,4,4,5,4,4,3,4,5,4,4,5,4,2
Associate Professor,Female,Mathematics,,11,Virginia,Three months,,Not funded,No,Standard,Office,,Hands-on,40-50,20,60,10,10,100,Every 3-4 hours,,Answer email as it comes,Yes,1,internal,internal,10-20%,1-2 months,6-12 months,Significantly more,50,40,10,0,100,80,20,0,0,100,1-3 hours before deadline,Significantly  more,3,4,2,4,3,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,3,1,2,4,2,5,2,1,2,3,3,1,1,2,3,2,1,3,2,1,3,2,3,3,2,2,1,4,2,1,4,4,4,5,3,3,3,3,3,4,4,3,3,4,2,2,4,4,2,4,3,3,4,2,4,4,4
Associate Professor,Female,Engineering,,14,Arizona,Three months,,Fully funded,Yes,Standard,Office,,Hands-off,> 50,50,10,30,10,100,Other,"only bio, I bring my food and eat while working",Answer email as it comes,Yes,5,NSF,,20-30%,> 2 months,6-12 months,Significantly more,60,10,20,10,100,70,10,10,10,100,3-6 hours before deadline,Extremely  more,4,5,5,5,5,Collaborators are not respectful of my family obligations and expect that I can drop everything at the last minute to accommodate the proposal's needs.,Yes,3,B,50-75%,> 2 months,> 12 months,Significantly more,60,10,20,10,100,70,10,10,10,100,3-6 hours before deadline,Extremely  more,4,5,5,5,5,Usually the problems are with the pdf compliance,5,1,5,3,7,5,2,2,2,4,3,1,2,4,1,2,1,3,2,3,4,2,2,3,1,2,4,5,2,2,1,4,2,4,2,4,4,5,5,5,3,5,2,5,3,3,5,4,5,5,1,5,5,2,4,4,2
Professor,Male,Psychology,,24,Arizona,Three months,,25-1%,No,Light,"Pre-COVID, Home Two Days and Office Three","pre-COVID, home two days and office three",Hands-off,30-40,30,30,20,20,100,Every 1-2 hours,,Answer email in batches once  or twice per day,Yes,1,NIH,,30-50%,> 2 months,> 12 months,About the same,40,30,20,10,100,40,30,20,10,100,1 day before deadline,Same,2,1,1,1,1,"Deadlines are a regular part of academic life. If they are stressful, perhaps the problem is with the individual and not the deadline.",No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,4,1,1,5,4,1,4,1,4,1,1,4,4,1,1,4,1,1,4,4,1,4,1,1,3,1,2,4,2,5,4,4,4,3,1,5,4,5,2,4,1,5,2,5,2,1,4,1,3,1,2,4,1,4,5,1,3
Professor,Male,Biology,,32,Maryland,2,2,Fully funded,No,Heavy,Home,,Hands-on,40-50,60,30,0,10,100,Every hour,,Answer email as it comes,Yes,1,NSF,,30-50%,> 2 months,> 12 months,Significantly more,20,50,20,10,100,0,40,50,10,100,3-6 hours before deadline,Significantly  more,4,4,4,4,4,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,3,1,1,4,4,1,3,1,2,2,1,2,4,3,1,3,1,1,3,2,2,2,2,1,4,1,4,5,2,5,1,4,1,5,1,5,3,4,3,1,1,3,1,5,1,1,5,1,4,3,4,4,4,1,4,1,1
Associate Professor,Male,Other,Computer Science,46,New Jersey,Three months,,50-25%,Yes,Heavy,Home,,Hands-on,40-50,60,20,20,0,100,Every 3-4 hours,,Answer email as it comes,Yes,2,NSF,,10-20%,2-4 weeks,> 12 months,Significantly more,80,20,0,0,100,100,0,0,0,100,Minutes before deadline,Extremely  more,4,4,4,4,4,,Yes,3,A,20-30%,2-4 weeks,6-12 months,More,80,20,0,0,100,90,10,0,0,100,Minutes before deadline,Significantly  more,4,4,2,4,3,,6,2,6,4,6,6,2,3,1,3,3,1,1,4,1,1,4,3,1,2,4,1,3,3,2,3,3,4,1,2,5,2,2,2,5,4,1,2,5,1,5,4,1,4,1,2,3,4,4,3,1,3,3,1,3,4,1
Associate Professor,Female,Physics,,19,Colorado,Three months,,100-75%,Yes,Standard,Office,,Hands-on,40-50,30,50,10,10,100,Every 3-4 hours,,Answer email in batches once  or twice per day,Yes,1,NSF,,10-20%,2-4 weeks,> 12 months,Significantly more,60,40,0,0,100,90,10,,,100,3-6 hours before deadline,Significantly  more,3,4,4,4,4,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,4,2,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,5,1,2,1,2,2,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,2,3,2,4,4,3,4,4
Professor,Male,Engineering,,20,Texas,Three months,,50-25%,Yes,Light,Home,,Hands-off,> 50,40,20,40,,100,Every 1-2 hours,,Answer email in batches once  or twice per day,Yes,3,NSF,,< 10%,2-4 weeks,1-3 months,Significantly more,80,10,10,,100,80,10,10,,100,2 or more days before deadline,Extremely  more,5,5,5,5,5,,Yes,1,B,75-90%,1-2 months,> 12 months,More,50,20,30,,100,60,20,20,,100,1 day before deadline,Significantly  more,3,3,3,3,3,,3,1,4,5,2,6,3,2,3,1,1,3,3,2,1,3,1,2,3,3,2,3,2,2,3,2,4,5,2,4,2,5,4,4,4,5,5,5,4,4,1,4,5,4,2,2,4,2,4,1,5,2,2,5,4,4,5
Associate Professor,Male,Engineering,,45,Illinois,Three months,,100-75%,Yes,Heavy,Home,,Hands-on,> 50,60,20,10,10,100,Every 1-2 hours,,Answer email in batches once  or twice per day,Yes,5,NSF,,< 10%,1-2 months,6-12 months,Significantly more,80,20,0,0,100,100,,,,100,3-6 hours before deadline,Extremely  more,4,5,5,5,5,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,4,4,6,5,6,5,3,2,3,1,1,1,3,2,2,4,2,2,2,2,1,3,1,2,4,1,4,5,1,3,3,4,1,5,2,4,2,5,4,5,2,5,2,5,2,2,5,3,3,3,3,5,2,4,5,2,2
Professor,Male,Computer Science,,51,New York,Three months,,75-50%,Yes,Heavy,Office,,Hands-on,> 50,50,0,40,10,100,Every 3-4 hours,,Answer email in batches once  or twice per day,Yes,3,NSF,,10-20%,1-2 months,6-12 months,More,70,0,30,,100,100,,,,100,1-3 hours before deadline,Significantly  more,3,4,1,3,2,"The deadlines help to plan, and provide a good excuse to prioritize proposal writing over day-to-day work, esp. administrative. However, high-stakes deadlines (once in a year) are harmful, especially for junior faculty.   These can easily conflict with other hard deadlines (conference submissions, exams etc)  An optimal spacing  for me seems to be ~ 2-3 options to submit per year. ",Yes,>= 10,A*,50-75%,> 2 months,> 12 months,Significantly more,70,,30,,100,100,NA,NA,,100,1-3 hours before deadline,Significantly  more,4,3,1,2,2,"I think the high-stakes once-a-year deadlines, while having some positive aspects, also reinforce some negative behaviors such as rushed work and insufficient evaluation.  This is in addition to stress with its negative health and mental effects, esp for PhD students and junior faculty.  I believe this may also be one of the factors that discourages underrepresented groups from going into computer science, women in particular, as the work-life balance is definitely upset by the hard deadlines both conference and proposals",3,1,6,5,7,3,2,2,2,1,1,1,3,2,2,2,1,1,2,3,2,2,1,2,3,1,5,2,1,3,4,3,1,4,3,4,3,5,2,2,2,5,1,4,1,2,5,2,3,2,2,4,1,2,5,2,1
Professor,Male,Computer Science,,18,Texas,Three months,,Not funded,No,Heavy,Office,,Hands-on,40-50,20,30,30,20,100,Every 1-2 hours,,Answer email as it comes,Yes,1,NSF,,10-20%,1-2 months,> 12 months,Significantly more,60,20,10,10,100,80,20,0,0,100,Minutes before deadline,Significantly  more,3,3,2,4,4,,Yes,1,A,50-75%,> 2 months,> 12 months,Significantly more,70,20,10,0,100,70,20,10,,100,1-3 hours before deadline,Significantly  more,4,3,2,2,2,,4,1,5,4,5,5,3,2,3,2,2,2,2,2,2,2,2,2,3,3,2,3,2,1,3,2,2,4,3,3,3,4,3,4,2,4,2,4,3,2,2,4,3,4,2,2,4,2,4,3,3,3,3,2,3,2,2
Professor,Male,Chemistry,,35,Ohio,1,1,50-25%,No,Standard,Office,,Hands-off,> 50,40,10,40,10,100,Every 1-2 hours,,Answer email in batches once  or twice per day,Yes,1,NSF,,< 10%,> 2 months,3-6 months,About the same,60,10,30,0,100,100,,,,100,3-6 hours before deadline,Significantly  more,2,4,4,4,4,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,3,1,2,5,3,2,4,1,4,2,1,2,4,2,2,4,1,1,4,4,1,4,2,2,4,1,4,5,1,5,4,4,3,5,1,3,2,5,2,4,1,5,4,5,2,1,5,1,4,1,4,5,4,4,5,2,4
Professor,Male,Other,Applied Math,31,Illinois,Three months,,100-75%,No,Standard,Home,,Hands-off,40-50,10,20,60,10,100,Every 1-2 hours,,Answer email as it comes,Yes,1,NSF,,30-50%,1-2 months,1-3 months,Significantly more,70,20,10,0,100,90,0,10,0,100,1 day before deadline,Significantly  more,4,3,1,2,2,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,3,1,4,5,3,2,4,2,3,1,1,2,3,2,2,3,1,2,3,3,2,3,1,2,4,1,4,5,2,4,4,2,2,4,1,2,3,5,3,3,1,4,2,5,2,1,4,1,4,4,4,4,4,3,4,2,4
Assistant Professor,Female,Engineering,,10,Illinois,Three months,,Not funded,No,Light,Home,,Hands-off,40-50,70,10,10,10,100,Other,lunch and around kids' bedtime,Answer email in batches once  or twice per day,Yes,3,NSF,,< 10%,> 2 months,> 12 months,More,30,10,60,0,100,70,10,10,10,100,1 day before deadline,Same,4,4,4,4,5,"The answers I've provided are regarding a typical proposal submission process. But not all the submissions are typical. Sometimes things go wrong, significantly increasing stress in the last week or day of the submission.",Yes,1,A,50-75%,2-4 weeks,6-12 months,Significantly more,90,10,0,0,100,100,0,0,0,100,1-3 hours before deadline,Significantly  more,3,3,3,3,3,,3,1,3,4,4,3,3,3,2,1,2,2,3,2,2,3,2,2,2,3,2,3,2,2,3,2,3,5,2,2,2,2,1,5,4,4,2,5,2,3,4,4,3,3,1,2,4,3,3,2,4,4,1,3,3,3,3
Professor,Female,Computer Science,,30,Oregon,5-Apr,5-Apr,Fully funded,Yes,Heavy,Office,,Hands-off,> 50,60,10,10,20,100,Every 3-4 hours,,Answer email as it comes,Yes,3,DOD,,75-90%,1-2 months,6-12 months,Significantly more,80,10,10,0,100,70,10,10,10,100,3-6 hours before deadline,Extremely  more,3,3,1,3,3,,Yes,3,A*,75-90%,1-2 months,6-12 months,More,70,10,10,10,100,70,10,10,10,100,3-6 hours before deadline,Significantly  more,3,1,1,1,2,,7,2,7,6,7,1,3,2,3,2,2,2,4,1,1,3,1,2,3,3,2,3,1,2,4,2,5,4,1,3,3,2,3,5,1,3,3,4,2,2,1,5,3,5,1,2,5,1,3,1,3,4,3,2,3,2,3
Assistant Professor,Female,Biology,,15,Texas,Three months,,Fully funded,Yes,Heavy,Office,,Hands-on,40-50,50,30,10,10,100,Every 1-2 hours,,Answer email in batches once  or twice per day,Yes,3,NSF,,< 10%,> 2 months,> 12 months,Significantly more,70,20,10,0,100,80,10,10,,100,1 day before deadline,Extremely  more,5,4,3,5,3,Mentoring and production of manuscripts are also dramatically affected by deadlines.,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,6,2,5,4,5,6,3,3,3,2,1,3,3,2,1,3,2,1,3,4,1,4,1,1,4,1,3,4,2,5,5,5,2,4,1,5,5,5,2,3,2,5,5,4,2,1,4,1,4,2,3,4,2,3,4,2,4
Associate Professor,Male,Psychology,,19,New York,Three months,,100-75%,Yes,Heavy,Home,,Hands-off,> 50,30,30,20,20,100,Every 1-2 hours,,Answer email as it comes,Yes,3,NIH,,< 10%,1-2 months,6-12 months,Significantly more,50,30,10,10,100,90,10,0,0,100,3-6 hours before deadline,Extremely  more,4,5,5,5,4,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,3,2,5,4,7,6,2,3,2,3,2,2,2,4,2,2,2,2,2,3,2,1,2,2,4,2,4,4,4,4,3,4,2,2,3,4,4,5,4,4,3,3,2,4,5,2,4,2,4,2,4,4,5,4,4,2,2
Assistant Professor,Male,Engineering,,20,New Jersey,12,12,Fully funded,Yes,Heavy,Home,,Hands-off,> 50,70,0,20,10,100,Every 3-4 hours,,Answer email as it comes,Yes,3,NSF,,10-20%,1-2 weeks,3-6 months,Significantly more,80,0,20,0,100,50,0,50,0,100,Minutes before deadline,Significantly  more,4,5,4,5,5,"NSF, DoE should stop setting proposal deadlines at the end of institutional holidays. They systematically ruin the lives of faculties and those of their families!",Yes,3,A,20-30%,2-4 weeks,6-12 months,Significantly more,90,0,10,0,100,90,NA,10,,100,Minutes before deadline,Extremely  more,4,5,4,5,5,Conference committees should stop setting deadlines after institutional holidays. They ruin the lives of faculties and their families!,6,3,6,5,7,7,2,3,2,3,3,2,1,3,4,2,3,2,2,1,2,2,3,2,2,4,2,4,3,2,2,4,4,5,5,5,2,5,4,2,4,5,2,5,3,5,5,5,4,5,5,5,5,1,2,4,2
Associate Professor,Female,Psychology,,28,New York,0,0,25-1%,Yes,Heavy,Home,,Hands-off,40-50,50,30,10,10,100,Every 3-4 hours,,Answer email as it comes,Yes,1,NIH,,< 10%,> 2 months,> 12 months,Significantly more,70,20,10,,100,50,10,40,,100,2 or more days before deadline,Significantly  more,4,4,3,5,2,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,5,1,4,5,5,4,3,1,2,2,2,2,2,1,2,3,1,2,2,3,1,2,1,3,3,2,1,4,1,2,1,5,2,5,1,5,4,5,2,5,1,5,4,5,4,1,4,3,5,1,3,3,3,2,2,1,5
Associate Professor,Male,Psychology,,25,New York,2,2,75-50%,No,Standard,Home,,Hands-on,40-50,60,30,0,10,100,Every hour,,Answer email as it comes,Yes,1,NSF,,20-30%,> 2 months,3-6 months,More,80,20,,,100,100,,,,100,1 day before deadline,Significantly  more,3,1,1,1,1,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,5,2,4,4,4,2,3,2,3,2,1,3,3,1,2,3,1,2,3,2,2,3,2,2,3,1,2,4,4,2,1,3,4,3,4,5,3,5,4,2,4,4,2,5,1,4,5,3,4,4,4,5,4,2,3,4,2
Associate Professor,Female,Psychology,,19,Pennsylvania,Three months,,Fully funded,No,Standard,Home,,Hands-on,30-40,60,30,10,0,100,Every 1-2 hours,,Answer email in batches once  or twice per day,Yes,1,NSF,,> 90%,> 2 months,6-12 months,Significantly more,70,20,10,0,100,60,30,10,0,100,2 or more days before deadline,Same,3,3,1,1,2,My university has internal deadlines significantly earlier (weeks earlier) than the proposal deadlines. This moves the time required much earlier. The stress closer to the deadline comes from determining whether my research administration has correctly submitted everything.,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,5,1,3,6,4,2,4,1,4,1,1,3,3,1,1,4,1,1,4,3,1,4,1,1,4,1,4,4,1,5,3,3,1,5,1,3,2,5,1,5,2,4,1,4,1,2,4,1,3,2,1,4,3,2,3,1,2
Professor,Female,Physics,,26,Arizona,none,none,Not funded,Yes,Light,Home,,Hands-off,40-50,10,10,30,50,100,Every 3-4 hours,,Answer email as it comes,Yes,1,foundations,foundations,< 10%,> 2 months,6-12 months,Significantly more,70,,20,10,100,100,,,,100,2 or more days before deadline,Significantly  more,4,4,3,4,5,Having a process for year round submission at any time would significantly ease the stress,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,2,1,2,4,3,2,3,2,3,2,2,3,4,2,1,3,2,2,3,3,2,3,2,2,3,2,4,5,3,3,1,2,3,4,3,5,4,4,5,2,4,5,1,4,3,4,5,2,3,4,3,4,2,2,4,4,4
Associate Professor,Male,Engineering,,19,North Carolina,Three months,,25-1%,Yes,Heavy,Home,,Hands-on,> 50,40,40,,20,100,Every 3-4 hours,,Answer email as it comes,Yes,3,NSF,,20-30%,1-2 months,1-3 months,Significantly more,60,40,0,0,100,40,40,,20,100,2 or more days before deadline,Significantly  more,4,3,3,5,3,,Yes,3,A*,75-90%,1-2 months,3-6 months,More,60,40,,0,100,90,10,0,0,100,1-3 hours before deadline,Significantly  more,3,4,4,4,2,,5,1,4,4,6,5,2,3,2,2,2,1,1,3,3,2,2,2,2,2,3,2,3,3,2,4,5,2,1,4,1,1,2,5,4,5,2,4,4,5,4,4,2,5,2,4,4,4,4,4,2,4,4,4,4,4,4
Associate Professor,Female,Psychology,,19,Texas,Three months,,25-1%,Yes,Heavy,Home,,Hands-on,> 50,40,20,20,20,100,Every 3-4 hours,,Answer email as it comes,Yes,2,NIH,,< 10%,1-2 months,1-3 months,Significantly more,60,20,10,10,100,100,,,,100,3-6 hours before deadline,Extremely  more,5,5,5,5,5,,Yes,1,A,50-75%,2-4 weeks,1-3 months,About the same,50,20,20,10,100,70,20,10,,100,3-6 hours before deadline,Significantly  more,3,2,3,4,2,,6,2,4,4,6,5,3,2,2,2,2,2,3,3,2,4,1,2,3,3,2,3,2,2,4,2,5,4,2,4,2,2,1,4,3,5,4,5,4,4,2,4,1,4,4,2,5,2,2,2,5,5,4,4,4,4,1
Professor,Female,Engineering,,44,Maryland,Three months,,50-25%,No,Standard,Office,,Hands-on,> 50,10,50,20,20,100,Other,never,Answer email in batches once  or twice per day,Yes,2,NSF,,< 10%,1-2 months,> 12 months,Significantly more,60,30,10,0,100,100,,,,100,1-3 hours before deadline,Extremely  more,5,2,1,5,2,The new rolling proposal deadlines are great.,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,6,1,6,3,6,3,3,3,2,2,2,4,2,2,2,3,1,2,2,2,2,3,1,2,2,2,2,5,2,3,1,4,2,5,4,5,4,5,4,1,4,4,5,5,1,4,5,4,5,3,5,5,3,1,5,1,5
Assistant Professor,Female,Computer Science,,7,Georgia,Three months,,25-1%,Yes,Heavy,Office,,Hands-on,> 50,40,40,10,10,100,Every 3-4 hours,,Answer email as it comes,Yes,2,DOD,,< 10%,> 2 months,> 12 months,Significantly more,90,10,0,0,100,100,0,0,0,100,3-6 hours before deadline,Extremely  more,4,4,4,4,4,"Each proposal takes months and years to develop, but the evaluation gives one parameter back: competitive or not.  There are helpful review comments but sometime  they are inconsistent from year to year.  Working with the deadlines means dealing with the uncertainty and the high rejection rate. ",Yes,3,A,10-20%,> 2 months,> 12 months,Significantly more,70,10,10,10,100,80,10,0,10,100,3-6 hours before deadline,Extremely  more,3,3,3,3,3,,7,5,6,4,7,5,3,2,2,2,2,2,3,2,4,3,2,2,2,2,2,2,4,3,3,2,4,5,1,4,2,5,1,4,4,4,4,2,4,2,4,4,4,4,2,4,4,2,1,4,4,4,4,2,4,4,4
Professor,Female,Computer Science,,24,Oklahoma,Three months,,100-75%,Yes,Heavy,Home,,Hands-off,> 50,30,20,40,10,100,Every 3-4 hours,,Answer email as it comes,Yes,2,NSF,,10-20%,> 2 months,6-12 months,Significantly more,60,20,10,10,100,80,10,10,0,100,1-3 hours before deadline,Significantly  more,3,2,2,3,4,I prefer to get things done early and my co-PIs are often deadline oriented and it really stresses me out to deal with how late their stuff comes in!,Yes,1,A*,30-50%,1-2 weeks,3-6 months,About the same,40,30,20,10,100,50,20,20,10,100,1-3 hours before deadline,Same,3,1,1,1,2,,6,1,4,5,6,2,4,1,4,1,1,3,3,1,1,4,1,1,4,4,1,2,2,1,4,1,1,5,1,4,3,5,2,5,1,5,4,5,2,1,1,4,4,5,1,1,4,1,4,1,3,3,2,1,3,1,2
Associate Professor,Male,Engineering,,25,Utah,Three months,,Fully funded,Yes,Heavy,Home,,Hands-off,> 50,70,10,10,10,100,Other,6 hs,Answer email as it comes,Yes,5,NSF,,10-20%,1-2 months,1-3 months,Significantly more,90,10,0,0,100,100,0,0,0,100,1-3 hours before deadline,Significantly  more,3,5,1,5,5,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,5,5,5,5,5,5,3,2,2,2,2,2,2,2,2,3,2,1,2,4,2,1,2,2,3,2,1,3,1,4,4,3,3,5,2,5,4,5,1,5,1,5,4,5,5,1,5,1,5,1,5,5,3,5,5,5,3
Professor,Female,Engineering,,43,Utah,5.5,5.5,Fully funded,Yes,Heavy,Home,,Hands-on,> 50,30,40,10,20,100,Every 3-4 hours,,Answer email in batches once  or twice per day,Yes,5,NSF,,10-20%,> 2 months,1-3 months,Significantly more,60,30,0,10,100,40,30,10,20,100,2 or more days before deadline,Same,4,5,2,3,4,"I love the new flexible deadlines that NSF has for many of its programs. But many of the other programs still have deadlines, and these are usually the more complicated programs anyway, involving larger groups, and these take more time to prepare and are usually not ready to go until the very end. ",Yes,>= 10,B,> 90%,2-4 weeks,6-12 months,About the same,50,30,10,10,100,40,40,10,10,100,1 day before deadline,Same,2,2,2,2,2,"We do so many papers and conference papers, that we plan for these well in advance, the students are directly involved in the work, it's a group effort, so it has to get started pretty early, and everyone helps edit and add to them.",7,2,5,5,7,5,4,2,3,1,2,4,4,3,1,4,2,2,3,4,2,3,1,2,4,2,3,5,1,3,1,5,1,4,2,5,5,5,2,1,3,5,2,5,1,1,5,3,4,1,1,4,4,1,4,2,1
Professor,Female,Mathematics,,12,Ohio,1 month,1 month,50-25%,No,Heavy,Office,,Hands-on,30-40,40,30,10,20,100,Every 1-2 hours,,Answer email in batches once  or twice per day,Yes,1,NSF,,10-20%,> 2 months,6-12 months,Significantly more,70,20,0,10,100,40,30,10,20,100,1 day before deadline,Significantly  more,3,4,3,3,4,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,5,5,4,6,5,1,3,2,3,2,2,3,3,2,2,3,2,2,3,3,2,3,2,2,4,2,5,5,4,4,2,4,2,5,2,4,4,4,3,4,2,4,3,4,2,2,4,3,4,2,3,4,3,2,3,3,3
